rank,name,code,score,grade,reason,market,sector,changeRate,entryPrice,stopLoss,targetPrice,strategy,weeklyCloud,dailySignal,rsi,macd,volumeSignal,foreign5D,foreign20D,foreign60D,pension5D,pension20D,pension60D,trust5D,trust20D,trust60D,finance5D,finance20D,finance60D,reportSignal,newsSignal,riskMemo
54,파마리서치,214450,75,B,종가 기준 거래대금 상위 54 / KOSDAQ 종가선별 / 등락률 6.71%,KOSDAQ,KOSDAQ 종가선별,6.71%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,눌림목 대기: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
55,LG에너지솔루션,373220,80,A,종가 기준 거래대금 상위 55 / 2차전지·소재 / 등락률 -0.13%,KOSPI,2차전지·소재,-0.13%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,눌림목 대기: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
56,삼성물산,028260,80,A,종가 기준 거래대금 상위 56 / KOSPI 종가선별 / 등락률 -0.13%,KOSPI,KOSPI 종가선별,-0.13%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,눌림목 대기: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
57,KODEX 200타겟위클리커버드콜,498400,72,B,종가 기준 거래대금 상위 57 / KOSPI 종가선별 / 등락률 -1.55%,KOSPI,KOSPI 종가선별,-1.55%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,눌림목 대기: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
58,한국콜마,161890,64,C,종가 기준 거래대금 상위 58 / KOSPI 종가선별 / 등락률 10.91%,KOSPI,KOSPI 종가선별,10.91%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,관찰 후보: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,급등 추격 주의
59,삼성생명,032830,80,A,종가 기준 거래대금 상위 59 / KOSPI 종가선별 / 등락률 0.98%,KOSPI,KOSPI 종가선별,0.98%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,눌림목 대기: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
60,신한지주,055550,84,A,종가 기준 거래대금 상위 60 / 금융·밸류업 / 등락률 0.83%,KOSPI,금융·밸류업,0.83%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,진입 후보: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
61,대한항공,003490,80,A,종가 기준 거래대금 상위 61 / KOSPI 종가선별 / 등락률 1.77%,KOSPI,KOSPI 종가선별,1.77%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,눌림목 대기: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
62,하나마이크론,067310,68,C,종가 기준 거래대금 상위 62 / KOSDAQ 종가선별 / 등락률 -8.77%,KOSDAQ,KOSDAQ 종가선별,-8.77%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,관찰 후보: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
63,대덕전자,353200,72,B,종가 기준 거래대금 상위 63 / KOSPI 종가선별 / 등락률 -3.32%,KOSPI,KOSPI 종가선별,-3.32%,"내일 시가 추격 금지, 장중 눌림 또는 전일 종가 지지 확인",전일 종가/단기 지지선 이탈,분할 익절,눌림목 대기: 오늘 종가 기준 내일 대응 후보,V306 minimal: 종가/거래대금 1차 선별,종가 기준 시장 강도 선별,후속 V307에서 차트지표 연결,후속 V307에서 차트지표 연결,거래대금 우선 선별,-,-,-,-,-,-,-,-,-,-,-,-,기존 리포트 엔진 병합 예정,기존 뉴스 엔진 병합 예정,종가 기준 변동성 확인
